data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757368,19,1,0.75,0.714285714286,5,4,4
hanab_live,1757368,20,0,0.285714285714,0.285714285714,3,3,3
hanab_live,1757368,23,1,0.833333333333,0.8,5,4,3
hanab_live,1757368,24,0,0.714285714286,0.722222222222,5,5,3
hanab_live,1757368,26,0,0.5,0.5,5,5,4
hanab_live,1757368,27,1,0,0,1,1,2
hanab_live,1757368,33,1,0.666666666667,0.666666666667,4,4,4
hanab_live,1757368,35,1,0,0,1,1,4
hanab_live,1757368,36,0,0.5,0.5,3,3,4
hanab_live,1757368,37,1,0.5,0.5,3,3,3
hanab_live,1757368,38,0,0.5,0.5,2,2,3
hanab_live,1757368,39,1,0.5,0.5,3,3,2
hanab_live,1757368,41,1,0.4,0.25,3,2,4
hanab_live,1757368,42,0,0.5,0.5,3,3,2
hanab_live,1757368,43,1,0.5,0.5,2,2,3
hanab_live,1757368,48,0,0.5,0.5,2,2,4
hanab_live,1757368,52,0,0,0,1,1,4
hanab_live,1757368,54,0,0.75,0.666666666667,3,2,4
hanab_live,1757368,56,0,0,0,1,1,3
hanab_live,1757368,61,1,0,0,1,1,0
hanab_live,1757368,62,0,0,0,1,1,0
hanab_live,1757369,2,0,0,0,5,5,4
hanab_live,1757369,5,1,0,0,4,4,4
hanab_live,1757369,7,1,0.2,0.2,4,4,3
hanab_live,1757369,8,0,0.666666666667,0.666666666667,4,4,3
hanab_live,1757369,11,1,0.777777777778,0.795918367347,5,5,4
hanab_live,1757370,1,1,0.694444444444,0.694444444444,19,19,4
hanab_live,1757370,4,0,0.666666666667,0.666666666667,20,20,4
hanab_live,1757370,11,1,0.685714285714,0.694399350649,19,19,4
hanab_live,1757370,13,1,0,0,1,1,4
hanab_live,1757370,14,0,0,0,1,1,4
hanab_live,1757370,16,0,0.7,0.706632653061,18,18,4
hanab_live,1757370,18,0,0,0,1,1,4
hanab_live,1757370,19,1,0.5,0.5,2,2,3
hanab_live,1757370,22,0,0,0,1,1,3
hanab_live,1757370,23,1,0.5,0.5,2,2,3
hanab_live,1757370,24,0,0.5,0.5,2,2,2
hanab_live,1757370,26,0,0.666666666667,0.666666666667,5,5,4
hanab_live,1757370,28,0,0,0,3,3,3
hanab_live,1757370,32,0,0.722222222222,0.7421875,13,13,4
hanab_live,1757370,36,0,0.5,0.5,2,2,4
hanab_live,1757370,39,1,0.692307692308,0.666666666667,10,10,4
hanab_live,1757370,42,0,0.2,0.166666666667,4,4,4
hanab_live,1757370,43,1,0.666666666667,0.666666666667,2,2,3
hanab_live,1757370,44,0,0.5,0.5,2,2,3
hanab_live,1757370,46,0,0.636363636364,0.611111111111,8,8,4
hanab_live,1757370,47,1,0,0,1,1,2
hanab_live,1757370,50,0,0,0,1,1,4
hanab_live,1757370,52,0,0,0,1,1,3
hanab_live,1757370,53,1,0,0,2,2,0
hanab_live,1757370,55,1,0.75,0.75,4,4,4
hanab_live,1757370,57,1,0.833333333333,0.666666666667,5,5,4
hanab_live,1757372,2,0,0,0,5,5,4
hanab_live,1757372,5,1,0.142857142857,0.142857142857,5,5,4
hanab_live,1757372,8,0,0.913043478261,0.913043478261,13,13,4
hanab_live,1757372,22,0,0.25,0.25,5,5,4
hanab_live,1757374,2,0,0,0,5,5,4
hanab_live,1757374,5,1,0.142857142857,0.142857142857,5,5,4
hanab_live,1757374,8,0,0.6,0.6,3,3,4
hanab_live,1757374,9,1,0.307692307692,0.307692307692,5,5,4
hanab_live,1757374,11,1,0,0,1,1,4
hanab_live,1757374,13,1,0.75,0.771428571429,5,5,3
hanab_live,1757374,15,1,0.5,0.5,3,3,4
hanab_live,1757374,19,1,0.777777777778,0.777777777778,5,5,4
hanab_live,1757374,20,0,0.6,0.6,3,3,2
hanab_live,1757374,23,1,0.666666666667,0.666666666667,3,3,4
hanab_live,1757375,2,0,0,0,5,5,4
hanab_live,1757375,3,1,0.153846153846,0.153846153846,5,5,4
hanab_live,1757375,4,0,0.333333333333,0.333333333333,5,5,3
hanab_live,1757375,5,1,0.5,0.5,5,5,3
hanab_live,1757375,9,1,0.222222222222,0.222222222222,5,5,4
hanab_live,1757375,13,1,0.727272727273,0.727272727273,5,5,4
hanab_live,1757375,14,0,0.727272727273,0.727272727273,15,15,4
hanab_live,1757375,17,1,0,0,1,1,4
hanab_live,1757375,20,0,0.666666666667,0.666666666667,10,10,4
hanab_live,1757375,29,1,0.75,0.666666666667,5,4,4
hanab_live,1757375,31,1,0,0,1,1,4
hanab_live,1757375,32,0,0.666666666667,0.666666666667,4,4,3
hanab_live,1757375,33,1,0.833333333333,0.833333333333,5,5,3
hanab_live,1757375,35,1,0.684210526316,0.647058823529,15,15,4
hanab_live,1757375,38,0,0.666666666667,0.666666666667,10,10,4
hanab_live,1757375,39,1,0,0,1,1,3
hanab_live,1757375,45,1,0,0,1,1,4
hanab_live,1757375,49,1,0.75,0.75,10,10,4
hanab_live,1757376,2,0,0,0,5,5,4
hanab_live,1757376,3,1,0.153846153846,0.153846153846,5,5,4
hanab_live,1757376,4,0,0.0909090909091,0.0909090909091,5,5,3
hanab_live,1757376,5,1,0.25,0.25,5,5,3
hanab_live,1757376,7,1,0.454545454545,0.454545454545,5,5,2
hanab_live,1757376,10,0,0.739130434783,0.739130434783,16,16,4
hanab_live,1757376,17,1,0.692307692308,0.68,19,19,4
hanab_live,1757376,20,0,0.653846153846,0.65625,18,18,4
hanab_live,1757376,22,0,0,0,1,1,4
hanab_live,1757376,28,0,0.619047619048,0.6375,17,17,4
hanab_live,1757376,30,0,0.5,0.4,4,3,4
hanab_live,1757376,33,1,0,0,1,1,4
hanab_live,1757376,34,0,0,0,1,1,4
hanab_live,1757376,35,1,0,0,1,1,3
hanab_live,1757376,38,0,0.666666666667,0.666666666667,5,5,4
hanab_live,1757376,40,0,0,0,1,1,3
